GENESIS-Tabelle: 12211-9018
Durchschnittliche Körpergröße, durchschnittliches;;;;;;;;
Körpergewicht, durchschn. Body-Mass-Index: Deutschland,;;;;;;;;
Jahre (bis 2017), Geschlecht, Familienstand, Altersgruppen;;;;;;;;
Mikrozensus;;;;;;;;
Deutschland;;;;;;;;
;;;2013;2013;2013;2017;2017;2017
;;;Durchschnittliche Körpergröße;Durchschnittliches Körpergewicht;Durchschnittlicher Body-Mass-Index;Durchschnittliche Körpergröße;Durchschnittliches Körpergewicht;Durchschnittlicher Body-Mass-Index
;;;m;kg;kg/qm;m;kg;kg/qm
männlich;geschieden;Insgesamt;1,78;85,6;27,0;1,78;86,6;27,3
männlich;Insgesamt;18 bis unter 20 Jahre;1,81;75,7;23,1;1,81;75,8;23,2
männlich;Insgesamt;20 bis unter 25 Jahre;1,81;78,9;24,1;1,81;79,2;24,2
männlich;Insgesamt;25 bis unter 30 Jahre;1,81;81,6;25,0;1,81;82,5;25,3
männlich;Insgesamt;30 bis unter 35 Jahre;1,80;83,8;25,7;1,80;84,4;26,0
männlich;Insgesamt;35 bis unter 40 Jahre;1,80;85,6;26,4;1,80;85,9;26,4
männlich;Insgesamt;40 bis unter 45 Jahre;1,80;86,4;26,7;1,80;87,3;26,9
männlich;Insgesamt;45 bis unter 50 Jahre;1,80;86,6;26,8;1,80;87,6;27,1
männlich;Insgesamt;50 bis unter 55 Jahre;1,79;86,8;27,2;1,79;87,8;27,3
männlich;Insgesamt;55 bis unter 60 Jahre;1,78;86,8;27,4;1,79;87,7;27,5
männlich;Insgesamt;60 bis unter 65 Jahre;1,77;86,6;27,7;1,78;87,3;27,7
männlich;Insgesamt;65 bis unter 70 Jahre;1,76;85,4;27,6;1,76;86,5;27,8
männlich;Insgesamt;70 bis unter 75 Jahre;1,75;84,1;27,3;1,76;84,8;27,5
männlich;Insgesamt;75 Jahre und mehr;1,73;80,4;26,8;1,74;81,2;26,8
männlich;Insgesamt;Insgesamt;1,78;84,3;26,5;1,79;85,0;26,7
weiblich;ledig;18 bis unter 20 Jahre;1,68;60,9;21,7;1,68;61,4;21,9
weiblich;ledig;20 bis unter 25 Jahre;1,68;62,7;22,3;1,68;62,9;22,4
weiblich;ledig;25 bis unter 30 Jahre;1,68;64,1;22,8;1,68;64,8;23,1
weiblich;ledig;30 bis unter 35 Jahre;1,68;65,6;23,3;1,68;66,3;23,6
weiblich;ledig;35 bis unter 40 Jahre;1,68;66,8;23,7;1,68;67,8;24,1
weiblich;ledig;40 bis unter 45 Jahre;1,68;68,1;24,2;1,68;69,2;24,6
weiblich;ledig;45 bis unter 50 Jahre;1,68;69,2;24,6;1,68;69,4;24,7
