GENESIS-Tabelle: 12211-9019
Body-Mass-Index: Deutschland, Jahre (bis 2017),;;;;;;;;;;
Gewichtsklassifikation, Geschlecht, Familienstand,;;;;;;;;;;
Altersgruppen;;;;;;;;;;
Mikrozensus;;;;;;;;;;
Deutschland;;;;;;;;;;
;;;2013;2013;2013;2013;2017;2017;2017;2017
;;;Body-Mass-Index;Body-Mass-Index;Body-Mass-Index;Body-Mass-Index;Body-Mass-Index;Body-Mass-Index;Body-Mass-Index;Body-Mass-Index
;;;Unter 18,5 kg/qm (Untergewicht);30 kg/qm und mehr (Adipositas);18,5 bis unter 25 kg/qm (Normalgewicht);25 bis unter 30 kg/qm (Übergewicht);Unter 18,5 kg/qm (Untergewicht);30 kg/qm und mehr (Adipositas);18,5 bis unter 25 kg/qm (Normalgewicht);25 bis unter 30 kg/qm (Übergewicht)
;;;Prozent;Prozent;Prozent;Prozent;Prozent;Prozent;Prozent;Prozent
männlich;geschieden;Insgesamt;0,6;19,8;33,3;46,3;0,6;21,3;31,0;47,1
männlich;Insgesamt;18 bis unter 20 Jahre;4,3;4,1;75,2;16,3;5,7;5,0;71,6;17,8
männlich;Insgesamt;20 bis unter 25 Jahre;2,0;6,2;66,8;25,1;2,6;7,0;64,4;26,0
männlich;Insgesamt;25 bis unter 30 Jahre;1,3;8,8;56,7;33,2;1,0;10,6;53,5;34,9
männlich;Insgesamt;30 bis unter 35 Jahre;0,6;12,1;48,0;39,2;0,8;13,4;45,8;40,1
männlich;Insgesamt;35 bis unter 40 Jahre;0,3;14,8;41,1;43,7;0,5;15,5;40,4;43,6
männlich;Insgesamt;40 bis unter 45 Jahre;0,4;16,7;36,9;46,0;0,3;18,7;34,8;46,2
männlich;Insgesamt;45 bis unter 50 Jahre;0,4;17,9;34,4;47,4;0,3;19,4;32,7;47,6
männlich;Insgesamt;50 bis unter 55 Jahre;0,3;20,2;31,6;47,9;0,4;20,9;31,0;47,6
männlich;Insgesamt;55 bis unter 60 Jahre;0,4;22,6;28,2;48,8;0,4;22,6;28,8;48,2
männlich;Insgesamt;60 bis unter 65 Jahre;0,4;24,6;25,6;49,4;0,4;24,5;27,0;48,1
männlich;Insgesamt;65 bis unter 70 Jahre;0,4;23,6;26,3;49,8;0,4;25,3;25,6;48,7
männlich;Insgesamt;70 bis unter 75 Jahre;0,3;21,1;27,8;50,7;/;22,6;27,7;49,4
männlich;Insgesamt;75 Jahre und mehr;0,6;16,8;33,2;49,3;0,6;17,6;33,5;48,4
männlich;Insgesamt;Insgesamt;0,7;17,1;38,0;44,2;0,8;18,1;37,2;44,0
weiblich;ledig;18 bis unter 20 Jahre;13,3;2,8;73,4;10,5;12,2;3,3;73,4;11,2
weiblich;ledig;20 bis unter 25 Jahre;9,2;4,5;73,8;12,5;8,7;4,6;73,9;12,8
weiblich;ledig;25 bis unter 30 Jahre;6,7;5,9;72,3;15,1;6,5;6,8;70,5;16,2
weiblich;ledig;30 bis unter 35 Jahre;5,5;8,2;69,1;17,2;5,0;9,0;68,0;17,9
weiblich;ledig;35 bis unter 40 Jahre;4,9;9,3;66,4;19,4;3,8;10,8;65,3;20,1
weiblich;ledig;40 bis unter 45 Jahre;4,0;11,8;62,8;21,4;3,6;13,2;60,1;23,2
weiblich;ledig;45 bis unter 50 Jahre;3,4;12,6;59,7;24,3;4,0;12,9;58,7;24,4
weiblich;ledig;50 bis unter 55 Jahre;3,0;15,6;55,1;26,3;3,4;16,0;54,5;26,0
weiblich;ledig;55 bis unter 60 Jahre;3,7;17,2;49,3;29,8;3,6;16,3;52,1;28,0
weiblich;ledig;60 bis unter 65 Jahre;/;19,7;47,2;29,3;/;19,0;48,8;28,1
weiblich;ledig;65 bis unter 70 Jahre;/;18,8;45,6;33,1;/;21,6;46,1;29,8
weiblich;ledig;70 bis unter 75 Jahre;/;16,8;48,5;31,6;/;23,2;45,1;27,9
weiblich;ledig;75 Jahre und mehr;4,5;13,5;50,2;31,8;3,9;15,1;50,6;30,5
weiblich;ledig;Insgesamt;6,7;8,2;67,2;17,8;6,2;9,1;66,3;18,4
weiblich;verheiratet;18 bis unter 20 Jahre;/;/;/;/;/;/;/;/
weiblich;verheiratet;20 bis unter 25 Jahre;8,1;9,8;57,4;24,7;6,2;8,1;62,2;23,6
weiblich;verheiratet;25 bis unter 30 Jahre;5,1;9,6;64,6;20,7;4,8;10,8;61,2;23,2
weiblich;verheiratet;30 bis unter 35 Jahre;4,6;10,5;63,6;21,3;3,9;10,9;62,0;23,3
weiblich;verheiratet;35 bis unter 40 Jahre;3,4;10,2;63,0;23,4;3,5;10,7;61,9;23,9
weiblich;verheiratet;40 bis unter 45 Jahre;2,7;11,1;62,2;24,0;2,9;11,9;60,3;24,9
weiblich;verheiratet;45 bis unter 50 Jahre;2,5;11,9;59,5;26,0;2,5;12,3;57,8;27,5
weiblich;verheiratet;50 bis unter 55 Jahre;2,0;14,9;52,8;30,2;2,3;14,4;54,2;29,1
weiblich;verheiratet;55 bis unter 60 Jahre;1,7;16,6;48,4;33,3;2,1;15,6;50,7;31,6
weiblich;verheiratet;60 bis unter 65 Jahre;1,4;19,6;42,5;36,5;1,8;18,6;45,8;33,9
weiblich;verheiratet;65 bis unter 70 Jahre;1,4;19,1;41,5;38,0;1,5;20,1;41,6;36,8
weiblich;verheiratet;70 bis unter 75 Jahre;1,5;17,9;41,2;39,3;1,8;17,8;43,6;36,9
weiblich;verheiratet;75 Jahre und mehr;2,1;17,2;40,6;40,0;2,1;16,8;42,9;38,1
weiblich;verheiratet;Insgesamt;2,4;14,9;51,5;31,2;2,5;14,9;52,0;30,7
weiblich;verwitwet;18 bis unter 20 Jahre;-;-;-;/;-;-;-;-
weiblich;verwitwet;20 bis unter 25 Jahre;-;-;-;-;-;-;/;/
weiblich;verwitwet;25 bis unter 30 Jahre;-;/;/;/;/;/;/;/
weiblich;verwitwet;30 bis unter 35 Jahre;/;-;/;/;-;/;/;/
weiblich;verwitwet;35 bis unter 40 Jahre;-;/;/;/;-;/;/;/
weiblich;verwitwet;40 bis unter 45 Jahre;/;/;58,4;/;/;/;54,0;/
weiblich;verwitwet;45 bis unter 50 Jahre;/;14,9;50,8;31,1;/;21,6;48,0;27,3
weiblich;verwitwet;50 bis unter 55 Jahre;/;20,4;46,7;31,5;/;20,0;47,7;30,5
weiblich;verwitwet;55 bis unter 60 Jahre;/;23,6;40,8;33,5;/;23,2;45,0;30,2
weiblich;verwitwet;60 bis unter 65 Jahre;/;26,1;35,4;37,0;/;25,7;37,1;35,5
weiblich;verwitwet;65 bis unter 70 Jahre;/;23,6;35,5;39,3;/;27,3;37,1;34,4
weiblich;verwitwet;70 bis unter 75 Jahre;1,6;23,0;35,8;39,6;1,4;24,4;36,9;37,3
weiblich;verwitwet;75 Jahre und mehr;2,6;18,2;40,8;38,4;2,3;19,1;40,8;37,8
weiblich;verwitwet;Insgesamt;2,2;20,2;39,6;38,0;2,0;21,2;40,3;36,6
weiblich;geschieden;18 bis unter 20 Jahre;-;-;-;-;-;-;/;/
weiblich;geschieden;20 bis unter 25 Jahre;/;/;/;/;/;/;/;/
weiblich;geschieden;25 bis unter 30 Jahre;/;/;62,5;/;/;/;61,7;/
weiblich;geschieden;30 bis unter 35 Jahre;/;11,3;64,6;18,9;/;13,2;60,5;22,3
weiblich;geschieden;35 bis unter 40 Jahre;/;14,6;61,0;21,7;/;12,1;60,7;23,4
weiblich;geschieden;40 bis unter 45 Jahre;/;12,0;62,2;23,5;/;12,8;57,9;26,5
weiblich;geschieden;45 bis unter 50 Jahre;2,7;12,7;59,7;24,9;2,2;13,5;57,9;26,3
weiblich;geschieden;50 bis unter 55 Jahre;2,0;13,6;56,1;28,2;2,3;14,3;56,5;26,9
weiblich;geschieden;55 bis unter 60 Jahre;2,1;17,6;49,5;30,7;2,1;17,8;50,7;29,4
weiblich;geschieden;60 bis unter 65 Jahre;/;22,3;45,5;30,4;2,7;19,5;46,7;31,0
weiblich;geschieden;65 bis unter 70 Jahre;/;22,4;41,8;33,8;/;22,1;40,9;35,4
weiblich;geschieden;70 bis unter 75 Jahre;/;18,5;43,1;36,0;/;19,2;41,5;36,8
weiblich;geschieden;75 Jahre und mehr;3,2;20,0;39,8;36,9;3,1;18,6;41,7;36,6
weiblich;geschieden;Insgesamt;2,5;16,4;52,5;28,7;2,6;16,6;51,1;29,8
weiblich;Insgesamt;18 bis unter 20 Jahre;13,2;2,8;73,5;10,5;12,1;3,4;73,2;11,3
weiblich;Insgesamt;20 bis unter 25 Jahre;9,1;5,0;72,5;13,5;8,5;4,9;73,0;13,7
weiblich;Insgesamt;25 bis unter 30 Jahre;6,3;7,1;69,9;16,7;6,0;8,0;67,7;18,3
weiblich;Insgesamt;30 bis unter 35 Jahre;5,0;9,5;66,0;19,4;4,4;10,1;64,6;20,9
weiblich;Insgesamt;35 bis unter 40 Jahre;3,7;10,4;63,7;22,2;3,6;10,8;62,8;22,8
weiblich;Insgesamt;40 bis unter 45 Jahre;2,9;11,4;62,3;23,4;3,0;12,3;59,9;24,8
weiblich;Insgesamt;45 bis unter 50 Jahre;2,7;12,2;59,4;25,7;2,7;12,7;57,8;26,8
weiblich;Insgesamt;50 bis unter 55 Jahre;2,1;15,0;53,4;29,5;2,4;14,8;54,4;28,4
weiblich;Insgesamt;55 bis unter 60 Jahre;1,9;17,3;48,1;32,7;2,2;16,6;50,5;30,8
weiblich;Insgesamt;60 bis unter 65 Jahre;1,6;20,7;42,3;35,4;2,1;19,5;45,2;33,3
weiblich;Insgesamt;65 bis unter 70 Jahre;1,5;20,3;40,5;37,6;1,5;21,7;40,9;35,9
weiblich;Insgesamt;70 bis unter 75 Jahre;1,7;19,4;40,1;38,8;1,8;19,9;41,7;36,7
weiblich;Insgesamt;75 Jahre und mehr;2,6;17,7;41,2;38,5;2,3;18,0;42,1;37,6
weiblich;Insgesamt;Insgesamt;3,3;14,3;53,4;29,0;3,3;14,6;53,6;28,5
Insgesamt;ledig;18 bis unter 20 Jahre;8,5;3,5;74,4;13,6;8,6;4,2;72,4;14,8
Insgesamt;ledig;20 bis unter 25 Jahre;5,3;5,3;70,2;19,2;5,3;5,8;68,9;19,9
Insgesamt;ledig;25 bis unter 30 Jahre;3,7;7,1;64,9;24,4;3,3;8,4;61,9;26,4
Insgesamt;ledig;30 bis unter 35 Jahre;2,7;9,6;59,1;28,6;2,5;10,8;57,0;29,7
Insgesamt;ledig;35 bis unter 40 Jahre;2,3;12,0;53,7;32,0;2,0;12,8;52,3;32,9
Insgesamt;ledig;40 bis unter 45 Jahre;1,9;14,6;49,1;34,3;1,7;16,0;47,1;35,3
